"x","y","toast.grid_1","toast.grid_2","toast.grid_3"
0.119273301737757,0.838103756708408,243,230,211
0.225118483412322,0.839892665474061,245,230,209
0.307266982622433,0.843470483005367,248,232,207
0.40521327014218,0.841681574239714,237,222,191
0.501579778830964,0.847048300536673,233,197,149
0.591627172195893,0.843470483005367,212,172,123
0.684834123222749,0.84525939177102,194,133,89
0.773301737756714,0.848837209302326,176,108,69
0.860189573459716,0.847048300536673,147,84,51
0.958135860979463,0.847048300536673,144,90,56
0.122432859399684,0.739713774597496,235,219,196
0.225118483412322,0.737924865831843,241,226,205
0.316745655608215,0.73613595706619,229,209,182
0.40521327014218,0.739713774597496,222,175,123
0.5,0.743291592128801,217,165,117
0.583728278041074,0.741502683363148,201,148,96
0.683254344391785,0.737924865831843,177,109,70
0.774881516587678,0.743291592128801,160,88,50
0.869668246445498,0.739713774597496,169,100,61
0.954976303317536,0.739713774597496,174,113,82
0.12085308056872,0.635957066189624,241,224,198
0.214060031595577,0.637745974955277,243,227,202
0.318325434439178,0.643112701252236,234,202,153
0.406793048973144,0.637745974955277,218,142,93
0.496840442338073,0.641323792486583,220,148,98
0.591627172195893,0.632379248658318,166,91,51
0.683254344391785,0.641323792486583,184,120,76
0.778041074249605,0.63953488372093,147,83,48
0.875987361769352,0.637745974955277,157,83,48
0.947077409162717,0.63953488372093,24,12,12
0.124012638230648,0.533989266547406,229,202,159
0.210900473933649,0.5304114490161,239,220,187
0.302527646129542,0.542933810375671,220,159,104
0.408372827804107,0.537567084078712,190,118,68
0.492101105845182,0.535778175313059,171,94,50
0.582148499210111,0.544722719141324,161,99,84
0.670616113744076,0.542933810375671,142,71,43
0.766982622432859,0.544722719141324,74,31,22
0.869668246445498,0.542933810375671,85,35,26
0.948657187993681,0.542933810375671,9,13,22
0.12085308056872,0.432021466905188,216,182,137
0.217219589257504,0.433810375670841,181,114,59
0.305687203791469,0.437388193202147,187,106,59
0.400473933649289,0.430232558139535,186,115,69
0.496840442338073,0.433810375670841,191,126,86
0.57740916271722,0.432021466905188,191,128,84
0.67219589257504,0.433810375670841,141,75,51
0.77172195892575,0.433810375670841,87,44,37
0.863349131121643,0.440966010733453,58,28,30
0.950236966824645,0.4391771019678,13,16,21
0.119273301737757,0.331842576028623,209,149,97
0.217219589257504,0.33005366726297,183,112,66
0.302527646129542,0.331842576028623,177,98,57
0.397314375987362,0.340787119856887,167,94,53
0.490521327014218,0.344364937388193,109,47,24
0.57740916271722,0.340787119856887,116,60,45
0.670616113744076,0.337209302325581,62,33,25
0.762243285939968,0.331842576028623,89,32,13
0.84913112164297,0.340787119856887,60,29,24
0.947077409162717,0.338998211091234,13,13,23
0.116113744075829,0.231663685152057,149,89,52
0.217219589257504,0.238819320214669,168,100,65
0.307266982622433,0.245974955277281,150,81,52
0.400473933649289,0.25134168157424,51,19,6
0.5,0.244186046511628,170,96,59
0.57740916271722,0.238819320214669,89,36,30
0.67693522906793,0.240608228980322,65,34,29
0.763823064770932,0.245974955277281,24,18,20
0.857030015797788,0.245974955277281,5,7,19
0.948657187993681,0.245974955277281,23,23,33
0.12085308056872,0.14221824686941,105,48,28
0.223538704581359,0.138640429338104,88,36,22
0.323064770932069,0.14221824686941,79,29,18
0.398894154818325,0.14221824686941,144,74,49
0.490521327014218,0.151162790697674,113,60,42
0.57740916271722,0.147584973166369,32,20,24
0.673775671406003,0.151162790697674,11,12,16
0.762243285939968,0.149373881932022,3,12,21
0.855450236966825,0.152951699463327,4,10,22
0.948657187993681,0.156529516994633,2,9,19
0.130331753554502,0.0491949910554562,55,26,18
0.210900473933649,0.0474060822898033,121,60,32
0.307266982622433,0.052772808586762,39,20,14
0.400473933649289,0.0438282647584973,69,31,22
0.493680884676145,0.0474060822898033,69,34,32
0.593206951026856,0.0599284436493739,41,37,38
0.670616113744076,0.0599284436493739,0,6,16
0.766982622432859,0.052772808586762,4,10,22
0.855450236966825,0.056350626118068,5,13,26
0.948657187993681,0.0599284436493739,0,4,14
